"tag","stemtag","sp","quadrat","lx","ly","height.year","height.m","stemID","dbh.cm","dbh_year","dbh_2018.cm","status"
131130,1,"caco",1310,7.5,17,2012,15.8,18056,13.1100006103516,2013,13.5,"Live"
131364,1,"acru",1316,12,12.9,2012,32.8,18286,42.1100006103516,2013,44,"Live"
132287,1,"caovl",1325,9.1,3.9,2012,11.4,18610,10.1199996948242,2013,10.3,"Live"
132378,1,"caco",1326,9.3,2.4,2012,3.6,18699,3.12000007629395,2013,3.2,"Live"
140615,1,"ploc",1404,11.8,10.3,2012,32.3,19415,41.9100006103516,2013,42.8,"Live"
140875,1,"caco",1414,4.8,5.4,2012,36,19662,54.3599975585938,2013,56.3,"Live"
140882,1,"caco",1414,6.2,13.6,2012,15.6,19668,17.3,2013,18.7,"Live"
141075,1,"caco",1414,15.8,0.5,2012,24.4,19847,20.0399993896484,2013,20.8,"Live"
141135,1,"caco",1416,19.3,13.1,2012,32.9,19902,50.2799987792969,2013,NA,"Live"
142021,1,"caovl",1417,18.2,13.9,2012,16.2,19991,18.1100006103516,2013,18.3,"Live"
142065,1,"caco",1418,13.4,11.7,2012,30.6,20032,36.1899993896484,2013,37.8,"Live"
142174,1,"prav",1418,0.7,16.5,2012,8.6,20131,11.1599998474121,2013,12.5,"Live"
150350,1,"aial",1502,11.4,5,2012,13.8,20942,28.7,2013,29.9,"Live"
150756,1,"prse",1503,13.6,16.3,2012,30.1,21310,93.9099975585938,2013,NA,"Dead"
151160,1,"caco",1513,6.4,9.9,2012,37.9,21683,69.7099975585938,2013,71.2,"Live"
