Date,1 Month
2/1/1961,-0.92
3/1/1961,-0.86
4/1/1961,-0.6
5/1/1961,-0.66
6/1/1961,-0.57
7/1/1961,-0.6
8/1/1961,-0.8
9/1/1961,-0.93
10/1/1961,-1.17
11/1/1961,-1.31
12/1/1961,-1.38
1/1/1962,-1.57
2/1/1962,-1.41
3/1/1962,-1.05
4/1/1962,-1.08
5/1/1962,-1.1
6/1/1962,-0.92
7/1/1962,-0.66
8/1/1962,-0.98
9/1/1962,-1.04
10/1/1962,-1.3
11/1/1962,-1.07
12/1/1962,-1.02
1/1/1963,-1.06
2/1/1963,-1.04
3/1/1963,-0.72
4/1/1963,-1.01
5/1/1963,-1.2
6/1/1963,-1.04
7/1/1963,-1.09
8/1/1963,-1.14
9/1/1963,-1.21
10/1/1963,-1.62
11/1/1963,-1.53
12/1/1963,-1.54
1/1/1964,-1.35
2/1/1964,-1.11
3/1/1964,-1.08
4/1/1964,-1.05
5/1/1964,-1.37
6/1/1964,-1.66
7/1/1964,-1.76
8/1/1964,-1.93
9/1/1964,-1.94
10/1/1964,-2.02
11/1/1964,-2.38
12/1/1964,-2.69
1/1/1965,-2.75
2/1/1965,-2.7
3/1/1965,-2.39
4/1/1965,-2.35
5/1/1965,-2.56
6/1/1965,-2.73
7/1/1965,-2.81
8/1/1965,-2.73
9/1/1965,-2.98
10/1/1965,-2.99
11/1/1965,-3.42
12/1/1965,-4.03
1/1/1966,-4.28
2/1/1966,-4.37
3/1/1966,-4.7
4/1/1966,-4.58
5/1/1966,-4.6
6/1/1966,-4.67
7/1/1966,-4.93
8/1/1966,-5.11
9/1/1966,-4.46
10/1/1966,-4.35
11/1/1966,-4.34
12/1/1966,-4.32
1/1/1967,-4.42
2/1/1967,-4.35
3/1/1967,-4.04
4/1/1967,-4.11
5/1/1967,-3.83
6/1/1967,-4.01
7/1/1967,-3.66
8/1/1967,-3.21
9/1/1967,-3.14
10/1/1967,-2.94
11/1/1967,-2.89
12/1/1967,-2.43
1/1/1968,-2.23
2/1/1968,-2.35
3/1/1968,-2.19
4/1/1968,-2.42
5/1/1968,-2.17
6/1/1968,-2.28
7/1/1968,-2.39
8/1/1968,-2.37
9/1/1968,-2.36
10/1/1968,-2.39
11/1/1968,-2.4
12/1/1968,-2.59
1/1/1969,-2.76
2/1/1969,-2.91
3/1/1969,-3
4/1/1969,-2.94
5/1/1969,-3.15
6/1/1969,0.05
7/1/1969,0.39
8/1/1969,0.74
9/1/1969,0.56
10/1/1969,0.31
11/1/1969,0.3
12/1/1969,0.55
1/1/1970,0.4
2/1/1970,0.41
3/1/1970,0.46
4/1/1970,0.64
5/1/1970,0.21
6/1/1970,0.33
7/1/1970,0.61
8/1/1970,0.62
9/1/1970,-0.29
10/1/1970,-0.43
11/1/1970,0.71
12/1/1970,0.97
1/1/1971,1.21
2/1/1971,1.47
3/1/1971,1.12
4/1/1971,0.84
5/1/1971,1.1
6/1/1971,1.1
7/1/1971,0.92
8/1/1971,1.03
9/1/1971,1.26
10/1/1971,1.41
11/1/1971,1.35
12/1/1971,1.19
1/1/1972,1.17
2/1/1972,1.71
3/1/1972,1.55
4/1/1972,1.66
5/1/1972,1.76
6/1/1972,2.96
7/1/1972,3.2
8/1/1972,2.99
9/1/1972,2.46
10/1/1972,2.41
11/1/1972,2.77
12/1/1972,3.19
1/1/1973,3.23
2/1/1973,3.15
3/1/1973,2.74
4/1/1973,3.28
5/1/1973,3.2
6/1/1973,3.03
7/1/1973,2.73
8/1/1973,2.66
9/1/1973,2.2
10/1/1973,2.26
11/1/1973,1.72
12/1/1973,1.9
1/1/1974,1.94
2/1/1974,1.68
3/1/1974,1.31
4/1/1974,1.14
5/1/1974,1.07
6/1/1974,1.64
7/1/1974,1.25
8/1/1974,1.36
9/1/1974,1.28
10/1/1974,0.97
11/1/1974,0.72
12/1/1974,0.9
1/1/1975,0.94
2/1/1975,0.92
3/1/1975,1.21
4/1/1975,1.07
5/1/1975,1.16
6/1/1975,1.86
7/1/1975,2.07
8/1/1975,1.95
9/1/1975,3.24
10/1/1975,3.15
11/1/1975,2.93
12/1/1975,2.89
1/1/1976,3.32
2/1/1976,2.88
3/1/1976,2.42
4/1/1976,2.1
5/1/1976,1.93
6/1/1976,1.97
7/1/1976,2.3
8/1/1976,2.52
9/1/1976,2.46
10/1/1976,3.47
11/1/1976,-0.02
12/1/1976,0.04
1/1/1977,-0.07
2/1/1977,-0.3
3/1/1977,-0.36
4/1/1977,-0.46
5/1/1977,-0.89
6/1/1977,-1.21
7/1/1977,-1.29
8/1/1977,-1.52
9/1/1977,-1.69
10/1/1977,-1.66
11/1/1977,0.05
12/1/1977,0.03
1/1/1978,0.68
2/1/1978,0.41
3/1/1978,0.44
4/1/1978,0.06
5/1/1978,0.26
6/1/1978,0.29
7/1/1978,0.76
8/1/1978,1.25
9/1/1978,1.12
10/1/1978,0.91
11/1/1978,0.78
12/1/1978,0.98
1/1/1979,1.71
2/1/1979,2.02
3/1/1979,1.79
4/1/1979,1.54
5/1/1979,1.82
6/1/1979,2.02
7/1/1979,2.22
8/1/1979,2.2
9/1/1979,2.37
10/1/1979,2.81
11/1/1979,3
12/1/1979,2.94
1/1/1980,2.88
2/1/1980,2.55
3/1/1980,2.57
4/1/1980,2.53
5/1/1980,2.67
6/1/1980,-0.13
7/1/1980,0.18
8/1/1980,-0.11
9/1/1980,-0.27
10/1/1980,-0.21
11/1/1980,-0.18
12/1/1980,-0.37
1/1/1981,-0.62
2/1/1981,-0.58
3/1/1981,-0.81
4/1/1981,-0.84
5/1/1981,-0.86
6/1/1981,-0.72
7/1/1981,-0.55
8/1/1981,-0.76
9/1/1981,-0.75
10/1/1981,-0.6
11/1/1981,-0.71
12/1/1981,-0.76
1/1/1982,0.15
2/1/1982,0.21
3/1/1982,0.34
4/1/1982,0.33
5/1/1982,-0.32
6/1/1982,0.49
7/1/1982,0.47
8/1/1982,-0.03
9/1/1982,-0.17
10/1/1982,-0.3
11/1/1982,-0.36
12/1/1982,-0.61
1/1/1983,-0.81
2/1/1983,0.25
3/1/1983,0.28
4/1/1983,0.86
5/1/1983,1.02
6/1/1983,1.18
7/1/1983,-0.39
8/1/1983,-0.67
9/1/1983,-0.98
10/1/1983,0.48
11/1/1983,0.58
12/1/1983,0.84
1/1/1984,0.61
2/1/1984,1.19
3/1/1984,1.83
4/1/1984,2.07
5/1/1984,1.85
6/1/1984,1.29
7/1/1984,1.3
8/1/1984,1.94
9/1/1984,-0.19
10/1/1984,0.06
11/1/1984,0.31
12/1/1984,-0.17
1/1/1985,-0.25
2/1/1985,0.39
3/1/1985,-0.19
4/1/1985,-0.53
5/1/1985,-0.56
6/1/1985,-0.68
7/1/1985,-0.77
8/1/1985,-0.83
9/1/1985,-1.05
10/1/1985,0.29
11/1/1985,0.8
12/1/1985,0.89
1/1/1986,0.85
2/1/1986,1.07
3/1/1986,-0.12
4/1/1986,-0.31
5/1/1986,-0.51
6/1/1986,-0.75
7/1/1986,-0.78
8/1/1986,-0.77
9/1/1986,-1.07
10/1/1986,-1.33
11/1/1986,0.16
12/1/1986,0.24
1/1/1987,0.58
2/1/1987,0.56
3/1/1987,0.26
4/1/1987,0.98
5/1/1987,-0.06
6/1/1987,-0.12
7/1/1987,-0.11
8/1/1987,-0.25
9/1/1987,0.79
10/1/1987,0.8
11/1/1987,0.94
12/1/1987,1.1
1/1/1988,1.13
2/1/1988,0.86
3/1/1988,0.6
4/1/1988,0.57
5/1/1988,1.47
6/1/1988,-0.28
7/1/1988,-0.53
8/1/1988,-0.3
9/1/1988,-0.44
10/1/1988,-0.71
11/1/1988,0.19
12/1/1988,-0.15
1/1/1989,0
2/1/1989,0.24
3/1/1989,0.32
4/1/1989,0.11
5/1/1989,0.52
6/1/1989,0.54
7/1/1989,0.59
8/1/1989,-0.03
9/1/1989,-0.14
10/1/1989,0.23
11/1/1989,0.24
12/1/1989,-0.14
1/1/1990,-0.1
2/1/1990,-0.21
3/1/1990,-0.48
4/1/1990,-0.64
5/1/1990,0.36
6/1/1990,-0.37
7/1/1990,0.41
8/1/1990,0.59
9/1/1990,0.54
10/1/1990,1.19
11/1/1990,1.05
12/1/1990,1.35
1/1/1991,1.57
2/1/1991,-0.15
3/1/1991,0.24
4/1/1991,-0.18
5/1/1991,-0.6
6/1/1991,-0.85
7/1/1991,-1.2
8/1/1991,-1.51
9/1/1991,-1.53
10/1/1991,-1.89
11/1/1991,-2.11
12/1/1991,-2.27
1/1/1992,-2.59
2/1/1992,-2.73
3/1/1992,-2.72
4/1/1992,0.29
5/1/1992,0.41
6/1/1992,0.63
7/1/1992,0.63
8/1/1992,0.75
9/1/1992,0.85
10/1/1992,0.77
11/1/1992,1.25
12/1/1992,1.74
1/1/1993,1.72
2/1/1993,1.8
3/1/1993,2.69
4/1/1993,2.88
5/1/1993,2.3
6/1/1993,2.1
7/1/1993,1.84
8/1/1993,1.33
9/1/1993,1.28
10/1/1993,0.91
11/1/1993,1.11
12/1/1993,1.34
1/1/1994,1.61
2/1/1994,1.99
3/1/1994,2.58
4/1/1994,2.25
5/1/1994,2.18
6/1/1994,1.72
7/1/1994,1.47
8/1/1994,1.87
9/1/1994,1.66
10/1/1994,1.32
11/1/1994,1.25
12/1/1994,1.07
1/1/1995,1.38
2/1/1995,1.1
3/1/1995,0.84
4/1/1995,0.54
5/1/1995,0.82
6/1/1995,1.13
7/1/1995,1.02
8/1/1995,1.08
9/1/1995,0.86
10/1/1995,1.33
11/1/1995,1.68
12/1/1995,1.78
1/1/1996,2.46
2/1/1996,2.33
3/1/1996,2.56
4/1/1996,2.3
5/1/1996,2.59
6/1/1996,2.77
7/1/1996,3.01
8/1/1996,3.45
9/1/1996,4.06
10/1/1996,4.19
11/1/1996,4.55
12/1/1996,4.74
1/1/1997,4.43
2/1/1997,4.14
3/1/1997,4.16
4/1/1997,3.86
5/1/1997,3.4
6/1/1997,3.33
7/1/1997,2.84
8/1/1997,2.58
9/1/1997,2.48
10/1/1997,2.12
11/1/1997,2.68
12/1/1997,2.69
1/1/1998,3.1
2/1/1998,3.6
3/1/1998,3.78
4/1/1998,3.73
5/1/1998,3.92
6/1/1998,4.06
7/1/1998,-0.37
8/1/1998,-0.53
9/1/1998,-0.85
10/1/1998,-1.19
11/1/1998,-1.82
12/1/1998,-2.57
1/1/1999,-2.83
2/1/1999,-3.27
3/1/1999,-3.49
4/1/1999,-3.59
5/1/1999,-3.77
6/1/1999,-4
7/1/1999,-3.83
8/1/1999,-3.79
9/1/1999,-3.04
10/1/1999,-2.76
11/1/1999,-2.76
12/1/1999,-2.56
1/1/2000,-2.56
2/1/2000,-2.42
3/1/2000,-2.36
4/1/2000,-2.3
5/1/2000,-2.36
6/1/2000,-2.17
7/1/2000,-2.21
8/1/2000,-1.89
9/1/2000,-1.52
10/1/2000,-1.72
11/1/2000,-1.76
12/1/2000,-1.74
1/1/2001,-1.55
2/1/2001,-1.63
3/1/2001,-1.37
4/1/2001,-1.48
5/1/2001,-1.41
6/1/2001,-1.33
7/1/2001,-1.07
8/1/2001,-0.84
9/1/2001,-0.91
10/1/2001,-1.1
11/1/2001,-1.37
12/1/2001,-1.64
1/1/2002,-1.94
2/1/2002,-2.27
3/1/2002,-2.41
4/1/2002,0.25
5/1/2002,0.39
6/1/2002,0.5
7/1/2002,0.55
8/1/2002,0.5
9/1/2002,0.63
10/1/2002,0.95
11/1/2002,1.31
12/1/2002,1.67
1/1/2003,1.67
2/1/2003,2.34
3/1/2003,2.28
4/1/2003,2.37
5/1/2003,2.63
6/1/2003,2.94
7/1/2003,3.37
8/1/2003,3.45
9/1/2003,4.06
10/1/2003,4
11/1/2003,4.16
12/1/2003,4.4
1/1/2004,4.21
2/1/2004,4.14
3/1/2004,3.71
4/1/2004,3.92
5/1/2004,3.59
6/1/2004,3.49
7/1/2004,3.42
8/1/2004,3.25
9/1/2004,3.98
10/1/2004,3.73
11/1/2004,3.79
12/1/2004,3.85
1/1/2005,3.77
2/1/2005,3.47
3/1/2005,3.56
4/1/2005,-0.16
5/1/2005,-0.05
6/1/2005,-0.41
7/1/2005,-0.17
8/1/2005,-0.31
9/1/2005,-0.54
10/1/2005,-0.34
11/1/2005,-0.45
12/1/2005,-0.35
1/1/2006,-0.27
2/1/2006,-0.3
3/1/2006,-0.68
4/1/2006,-0.65
5/1/2006,-0.79
6/1/2006,-0.44
7/1/2006,-0.7
8/1/2006,-0.91
9/1/2006,-0.6
10/1/2006,-0.4
11/1/2006,-0.04
12/1/2006,-0.1
1/1/2007,-0.23
2/1/2007,-0.04
3/1/2007,-0.04
4/1/2007,-0.04
5/1/2007,-0.22
6/1/2007,-0.33
7/1/2007,-0.61
8/1/2007,-0.65
9/1/2007,-0.86
10/1/2007,-0.92
11/1/2007,-1.2
12/1/2007,-1.43
1/1/2008,-1.7
2/1/2008,-1.87
3/1/2008,-1.91
4/1/2008,0.44
5/1/2008,0.77
6/1/2008,0.94
7/1/2008,1.17
8/1/2008,1.04
9/1/2008,1.16
10/1/2008,1.08
11/1/2008,1
12/1/2008,1.28
1/1/2009,1.26
2/1/2009,0.87
3/1/2009,0.66
4/1/2009,0.7
5/1/2009,1.16
6/1/2009,1.46
7/1/2009,1.46
8/1/2009,1.04
9/1/2009,0.7
10/1/2009,0.69
11/1/2009,0.53
12/1/2009,0.82
1/1/2010,1.02
2/1/2010,1.08
3/1/2010,1.42
4/1/2010,-0.25
5/1/2010,-0.37
6/1/2010,-0.62
7/1/2010,-0.84
8/1/2010,-1.01
9/1/2010,-1.16
10/1/2010,0.46
11/1/2010,0.32
12/1/2010,0.32
1/1/2011,0.22
2/1/2011,0.02
3/1/2011,0.26
4/1/2011,1.38
5/1/2011,1.61
6/1/2011,-0.2
7/1/2011,-0.39
8/1/2011,-0.53
9/1/2011,0.28
10/1/2011,0.43
11/1/2011,0.47
12/1/2011,0.68
1/1/2012,-0.04
2/1/2012,-0.22
3/1/2012,-0.38
4/1/2012,-0.44
5/1/2012,-0.48
6/1/2012,-0.59
7/1/2012,0.45
8/1/2012,0.43
9/1/2012,0.55
10/1/2012,1.18
11/1/2012,1.25
12/1/2012,1.43
