"year","tree","resist.value","sp","rp","PLA_dry_percent","LMA_g_per_m2","mean_TLP_Mpa","WD_g_per_cm3","elev.m","dbh.ln.cm","height.ln.m","position_all","TWI","TWI.ln"
"1977","121105",1.05,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,317,3.75719218944117,3.27921634964297,"co-dominant",5.52904979068728,1.71001597268462
"1999","121105",0.71,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,317,3.86836085561112,3.34825209133451,"co-dominant",5.52904979068728,1.71001597268462
"1966","131113",0.79,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,312,3.81727715200595,3.31652911139569,"co-dominant",5.35847399339884,1.6786792318231
"1977","131113",0.75,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,312,3.85231156448627,3.33828548154598,"co-dominant",5.35847399339884,1.6786792318231
"1999","131113",1.05,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,312,3.90747976523945,3.3725449342137,"co-dominant",5.35847399339884,1.6786792318231
"1966","70256",0.8,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,2.74570555897742,2.65108315212498,"co-dominant",5.12230133841115,1.6336038182239
"1977","70256",0.75,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,2.88156964448391,2.73545474922451,"co-dominant",5.12230133841115,1.6336038182239
"1999","70256",0.83,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,3.01969093535984,2.82122807085846,"co-dominant",5.12230133841115,1.6336038182239
"1966","50246",0.63,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,3.11286390807629,2.87908848691538,"co-dominant",5.70175582913746,1.74077416760542
"1977","50246",0.7,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,3.13907296626634,2.8953643120514,"co-dominant",5.70175582913746,1.74077416760542
"1999","50246",0.67,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,3.19932658709369,2.93278181058518,"co-dominant",5.70175582913746,1.74077416760542
"1966","111094",0.51,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.34645921588449,3.02415117306427,"co-dominant",5.22032663457947,1.65255997361112
"1977","111094",1.1,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.40448199019299,3.06018331590984,"co-dominant",5.22032663457947,1.65255997361112
"1999","111094",1.26,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,304,3.50848035414026,3.1247662999211,"co-dominant",5.22032663457947,1.65255997361112
"1966","152053",1.74,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,2.81387320745727,2.69341526183096,"co-dominant",4.36992703538662,1.47474631226024
"1977","152053",0.88,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,2.91332583394531,2.75517534288003,"co-dominant",4.36992703538662,1.47474631226024
"1999","152053",1.32,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,3.01673559096779,2.819392801991,"co-dominant",4.36992703538662,1.47474631226024
"1966","70269",0.94,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,3.58440084666879,3.17191292578132,"co-dominant",5.05109935435226,1.61960591352652
"1977","70269",0.59,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,3.63072051722279,3.20067744119535,"co-dominant",5.05109935435226,1.61960591352652
"1999","70269",0.76,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,3.68740878081673,3.23588085288719,"co-dominant",5.05109935435226,1.61960591352652
