"year","sp","position","tree","resist.value","rp","PLA_dry_percent","LMA_g_per_m2","Chl_m2_per_g","mean_TLP_Mpa","WD_g_per_cm3","height.ln.m","height.m","position_all"
"1977","qupr","canopy","40529",1.16,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.77991366394275,119.094067488714,"co-dominant"
"1999","qupr","canopy","40529",1.12,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.78889895615395,120.168984475349,"co-dominant"
"1966","qupr","canopy","50323",0.96,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.85764241592547,128.720374992972,"co-dominant"
"1977","qupr","canopy","50323",0.91,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.86539848991242,129.722621469644,"co-dominant"
"1999","qupr","canopy","50323",0.86,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.87467057854736,130.931014620789,"co-dominant"
"1966","qupr","canopy","60187",0.95,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.9207614585474,137.106974725747,"co-dominant"
"1977","qupr","canopy","60187",0.94,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.92468956107029,137.646604145042,"co-dominant"
"1999","qupr","canopy","60187",0.98,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.93282182126856,138.770546045154,"co-dominant"
"1966","qupr","canopy","60161",1.03,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.07465610616024,159.917187986342,"co-dominant"
"1977","qupr","canopy","60161",0.7,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.0777007933993,160.404827786541,"co-dominant"
"1999","qupr","canopy","60161",0.95,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.08411458337492,161.436936990745,"co-dominant"
"1966","qupr","canopy","70334",1.23,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.90466565254036,134.917793043496,"co-dominant"
"1977","qupr","canopy","70334",1.03,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.91083245277402,135.752374825839,"co-dominant"
"1999","qupr","canopy","70334",1.16,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.92232821658536,137.321956548731,"co-dominant"
"1966","qupr","canopy","192070",1.16,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.81613670944441,123.487101515595,"co-dominant"
"1977","qupr","canopy","192070",0.69,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.82100382340578,124.089592317773,"co-dominant"
"1999","qupr","canopy","192070",1.29,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.82595379160329,124.705354597947,"co-dominant"
"1966","qupr","canopy","192068",1.01,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.82938955906546,125.134550083371,"co-dominant"
"1977","qupr","canopy","192068",1.05,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.83268767996753,125.547940289288,"co-dominant"
"1999","qupr","canopy","192068",1.41,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.83951048348527,126.407458044063,"co-dominant"
"1966","qupr","canopy","192130",1.22,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.51731901395317,91.5897177693557,"co-dominant"
"1977","qupr","canopy","192130",0.95,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.52445384388693,92.2455316073639,"co-dominant"
"1999","qupr","canopy","192130",1.16,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.53780605796554,93.4854732548287,"co-dominant"
"1966","qupr","canopy","152044",1.85,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.51845986548482,91.6942676657712,"co-dominant"
"1977","qupr","canopy","152044",0.83,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.5264466801545,92.4295451417958,"co-dominant"
"1999","qupr","canopy","152044",0.93,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.54311557996947,93.9831564929927,"co-dominant"
"1966","qupr","canopy","162415",1.01,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.54083870833589,93.7694123362826,"co-dominant"
"1977","qupr","canopy","162415",0.59,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.54981277187453,94.6146921250426,"co-dominant"
"1999","qupr","canopy","162415",1,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.56143280289292,95.7205302761738,"co-dominant"
"1966","qupr","canopy","192074",1.14,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.60271460350477,99.7547429993042,"co-dominant"
"1977","qupr","canopy","192074",0.73,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.61198727645107,100.684037971574,"co-dominant"
"1999","qupr","canopy","192074",1,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.62582652944108,102.087116228969,"co-dominant"
"1966","qupr","canopy","172517",1.15,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,3.94106567544476,51.4734260488423,"co-dominant"
"1977","qupr","canopy","172517",0.71,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,3.94955939415489,51.9124888490934,"co-dominant"
"1999","qupr","canopy","172517",0.91,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,3.96570066520993,52.7572215923165,"co-dominant"
"1966","qupr","canopy","202230",1.01,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.88769640193767,132.647654948327,"co-dominant"
"1977","qupr","canopy","202230",0.8,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.89142084284091,133.142614451694,"co-dominant"
"1999","qupr","canopy","202230",0.87,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.89758538069867,133.965912156685,"co-dominant"
"1966","qupr","canopy","10731",1.16,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.94265158881014,140.141354581254,"co-dominant"
"1977","qupr","canopy","10731",0.86,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.9448148219341,140.444841139259,"co-dominant"
"1999","qupr","canopy","10731",0.63,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.94891379875457,141.021702751147,"co-dominant"
"1966","qupr","canopy","142602",1.05,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.9148382105601,136.297256561803,"co-dominant"
"1977","qupr","canopy","142602",0.67,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.91810597032569,136.743371754618,"co-dominant"
"1999","qupr","canopy","142602",0.88,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.92440250748507,137.60709786431,"co-dominant"
"1966","qupr","canopy","111240",0.95,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.28918696218777,72.9071681117131,"co-dominant"
"1977","qupr","canopy","111240",0.92,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.29355484757871,73.2263147567864,"co-dominant"
"1999","qupr","canopy","111240",1.13,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.30678021563054,74.2011920665001,"co-dominant"
"1966","qupr","canopy","32381",1.19,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.0594003429959,157.496044394682,"co-dominant"
"1977","qupr","canopy","32381",0.85,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.06347160003446,158.138558306133,"co-dominant"
"1999","qupr","canopy","32381",0.93,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.07194245481824,159.483816769687,"co-dominant"
"1966","qupr","canopy","22064",1.17,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.00073320801313,148.522016722848,"co-dominant"
"1977","qupr","canopy","22064",0.92,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.0039647573688,149.002749287442,"co-dominant"
"1999","qupr","canopy","22064",0.74,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.00963006078557,149.849290765059,"co-dominant"
"1966","qupr","canopy","111196",0.99,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.75305070937514,115.937436996494,"co-dominant"
"1977","qupr","canopy","111196",0.65,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.7563981580193,116.326181901574,"co-dominant"
"1999","qupr","canopy","111196",0.66,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.76385594567702,117.196960871602,"co-dominant"
"1966","qupr","canopy","80458",1.05,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.97950037306403,145.401716888191,"co-dominant"
"1977","qupr","canopy","80458",0.66,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.98451592019864,146.132817956016,"co-dominant"
"1999","qupr","canopy","80458",1.19,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.99259720755281,147.318543892772,"co-dominant"
"1966","qupr","canopy","142583",1.01,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.78405731942413,119.588576103374,"co-dominant"
"1977","qupr","canopy","142583",1.2,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.78592355078119,119.811964436365,"co-dominant"
"1999","qupr","canopy","142583",0.76,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.7940375025317,120.788067606711,"co-dominant"
"1966","qupr","canopy","10726",0.98,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.01990645885042,151.397141269036,"co-dominant"
"1977","qupr","canopy","10726",0.99,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.02237549199435,151.771407676677,"co-dominant"
"1999","qupr","canopy","10726",0.87,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.02768387860083,152.579211154093,"co-dominant"
"1966","qupr","canopy","22031",1.01,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.9936994235616,147.481010270316,"co-dominant"
"1977","qupr","canopy","22031",0.67,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,4.99787556044539,148.098198992271,"co-dominant"
"1999","qupr","canopy","22031",0.73,"ring",11.7471173165519,71.7723188103559,0.54331223721354,-2.36017333333333,0.61280063,5.00608951904648,149.319681202154,"co-dominant"
"1966","quru","canopy","50274",1.2,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.26311254008395,71.0307257224899,"co-dominant"
"1977","quru","canopy","50274",0.97,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.26823239470206,71.3953252634953,"co-dominant"
"1999","quru","canopy","50274",0.97,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.27755162058455,72.0637843493344,"co-dominant"
"1966","quru","canopy","150890",0.93,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.42504441093628,83.5165161863601,"co-dominant"
"1977","quru","canopy","150890",1.44,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.43088728545067,84.0059210836937,"co-dominant"
"1999","quru","canopy","150890",0.86,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.43951755149234,84.734051994106,"co-dominant"
"1966","quru","canopy","80233",0.97,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.41869686908144,82.988070544025,"co-dominant"
"1977","quru","canopy","80233",0.96,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.42219253608692,83.2786768395669,"co-dominant"
"1999","quru","canopy","80233",1.12,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.42701060797232,83.6808876533374,"co-dominant"
"1966","quru","canopy","100771",0.9,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.44984823923181,85.6139501774028,"co-dominant"
"1977","quru","canopy","100771",0.81,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.45433589188911,85.9990192302546,"co-dominant"
"1999","quru","canopy","100771",0.6,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.46582173549598,86.9924849897911,"co-dominant"
"1966","quru","canopy","151021",1.06,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.25466488470517,70.4332099871554,"co-dominant"
"1977","quru","canopy","151021",0.89,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.26005732349905,70.8140426466379,"co-dominant"
"1999","quru","canopy","151021",0.94,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.27192741356644,71.6596203240851,"co-dominant"
"1966","quru","canopy","110811",0.8,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.33231791406185,76.1205230705696,"co-dominant"
"1977","quru","canopy","110811",0.84,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.33733228772992,76.5031784036796,"co-dominant"
"1999","quru","canopy","110811",0.76,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.34776031935493,77.3051300889922,"co-dominant"
"1966","quru","canopy","121305",0.84,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.42333678753248,83.3740231255843,"co-dominant"
"1977","quru","canopy","121305",0.82,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.42712304749946,83.6902972217696,"co-dominant"
"1999","quru","canopy","121305",0.76,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.43221234161538,84.1173074275812,"co-dominant"
"1966","quru","canopy","60353",0.9,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.1425783088699,62.9649554467432,"co-dominant"
"1977","quru","canopy","60353",0.64,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.14815415849024,63.3170191847546,"co-dominant"
"1999","quru","canopy","60353",0.89,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.15247448902271,63.5911614020479,"co-dominant"
"1966","quru","canopy","60116",0.86,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.09482474640485,60.0288179693778,"co-dominant"
"1977","quru","canopy","60116",0.56,"ring",11.0054424371564,71.1259116545318,0.535752552322636,-2.63958666666667,0.621754255333333,4.0990484157957,60.2828960435804,"co-dominant"
