"year","tree","resist.value","sp","rp","PLA_dry_percent","LMA_g_per_m2","mean_TLP_Mpa","WD_g_per_cm3","elev.m","dbh.ln.cm","height.ln.m","position_all","TWI","TWI.ln"
"1966","121105",-176.29,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,317,3.7076990092373,3.21934276393035,"co-dominant",5.52904979068728,1.71001597268462
"1977","121105",198.37,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,317,3.75719218944117,3.25111738562123,"co-dominant",5.52904979068728,1.71001597268462
"1999","121105",-244.71,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,317,3.86836085561112,3.32248766930234,"co-dominant",5.52904979068728,1.71001597268462
"1966","131113",-181.85,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,312,3.81727715200595,3.28969193158782,"co-dominant",5.35847399339884,1.6786792318231
"1977","131113",-284.63,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,312,3.85231156448627,3.31218402440019,"co-dominant",5.35847399339884,1.6786792318231
"1999","131113",22.52,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,312,3.90747976523945,3.34760200928373,"co-dominant",5.35847399339884,1.6786792318231
"1966","70256",-33.86,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,2.74570555897742,2.6017429688635,"co-dominant",5.12230133841115,1.6336038182239
"1977","70256",-80.46,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,2.88156964448391,2.68896771175867,"co-dominant",5.12230133841115,1.6336038182239
"1999","70256",4.47,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,308,3.01969093535984,2.77764158050102,"co-dominant",5.12230133841115,1.6336038182239
"1966","50246",-77.48,"cagl","ring",21.0911083494444,42.7586005249738,-2.12825333333333,0.617427201,298,3.11286390807629,2.83745862898498,"co-dominant",5.70175582913746,1.74077416760542
